group_name,time_in_hours,absorbance,dilution_factor
G1_4AP,0.25,0.42017,1
G1_4AP,0.25,0.55182,1
G1_4AP,0.25,0.92339,1
G1_4AP,0.25,0.61095,1
G1_4AP,0.25,0.51398,1
G1_4AP,0.25,0.3256,1
G1_4AP,0.5,0.50158,1
G1_4AP,0.5,0.37505,1
G1_4AP,0.5,0.69812,1
G1_4AP,0.5,0.89625,1
G1_4AP,0.5,0.64942,1
G1_4AP,0.5,0.69485,1
G1_4AP,1,0.73117,1
G1_4AP,1,0.37995,1
G1_4AP,1,0.75976,1
G1_4AP,1,0.92101,1
G1_4AP,1,0.70795,1
G1_4AP,1,0.7615,1
G1_4AP,4,0.72502,1
G1_4AP,4,0.39248,1
G1_4AP,4,0.74959,1
G1_4AP,4,0.94984,1
G1_4AP,4,0.72938,1
G1_4AP,4,0.79608,1
G1_4AP,8,0.73117,1
G1_4AP,8,0.47995,1
G1_4AP,8,0.75976,1
G1_4AP,8,0.92101,1
G1_4AP,8,0.70795,1
G1_4AP,8,0.7615,1
G1_4AP,24,0.82036,1
G1_4AP,24,0.86867,1
G1_4AP,24,0.74334,1
G1_4AP,24,0.96283,1
G1_4AP,24,0.7077,1
G1_4AP,24,0.55241,1
G1_4AP,48,0.79889,1
G1_4AP,48,0.50901,1
G1_4AP,48,0.73957,1
G1_4AP,48,1.0208,1
G1_4AP,48,1.03807,1
G1_4AP,48,1.14456,1
G1_4AP,72,0.90729,1
G1_4AP,72,0.52031,1
G1_4AP,72,0.71772,1
G1_4AP,72,0.96613,1
G1_4AP,72,1.04444,1
G1_4AP,72,1.09148,1
G1_4AP,96,0.7099,1
G1_4AP,96,0.46952,1
G1_4AP,96,0.66246,1
G1_4AP,96,0.855811,1
G1_4AP,96,0.91201,1
G1_4AP,96,0.92828,1
G1_4AP,120,0.83112,1
G1_4AP,120,0.48874,1
G1_4AP,120,0.68665,1
G1_4AP,120,0.89706,1
G1_4AP,120,0.95213,1
G1_4AP,120,0.98262,1
G1_4AP,144,0.73388,1
G1_4AP,144,0.44448,1
G1_4AP,144,0.65781,1
G1_4AP,144,0.81634,1
G1_4AP,144,0.83944,1
G1_4AP,144,0.88585,1
G1_4AP,168,0.74908,1
G1_4AP,168,0.46052,1
G1_4AP,168,0.65248,1
G1_4AP,168,0.78206,1
G1_4AP,168,0.85017,1
G1_4AP,168,0.9115,1
G1_4AP,504,0.8315572727,1
G1_4AP,504,0.8468787762,1
G1_4AP,504,0.8622002797,1
G1_4AP,504,0.8775217832,1
G1_4AP,504,0.8928432867,1
G1_4AP,504,0.9081647902,1
G1_4AP,672,0.66685,1
G1_4AP,672,0.5035,1
G1_4AP,672,1.12474,1
G1_4AP,672,1.46599,1
G1_4AP,672,1.07117,1
